title,url,description,grade_level,resource_type
Au-delà des murs : activités pour l'extérieur,https://ophea.net/fr/au-dela-des-murs-activites-pour-lexterieur,"Au-delà des murs : activités pour l'extérieur a été créée pour aider le personnel enseignant de l'élémentaire et du secondaire à utiliser les espaces extérieurs de manière sécuritaire et efficace pour l'activité physique avec les élèves.","1e, 2e, 3e, 4e, ...","Activité, Ressource, Vidéo"
Le jeu pour tous : stratégies pour des activités intra-muros inclusives,https://ophea.net/fr/le-jeu-pour-tous-strategies-pour-des-activites-intra-muros-inclusives,"Ce carrefour pour la reconception des programmes intra-muros a été créé pour donner accès au personnel enseignant à des ressources permettant de mettre sur pied un programme intra-muros inclusif, enrichissant, sécuritaire et amusant.","1e, 2e, 3e, 4e, ...","Activité, Ressource, Outil"
La pédagogie sensible et adaptée à la culture en éducation physique et santé,https://ophea.net/fr/la-pedagogie-sensible-et-adaptee-la-culture-en-education-physique-et-sante,"La pédagogie sensible et adaptée à la culture en éducation physique et santé est une ressource en ligne gratuite élaborée pour appuyer le personnel enseignant à créer un environnement inclusif d'ÉPS favorisant le développement personnel, social et scolaire de l'élève.","1e, 2e, 3e, 4e, ...","Plan de leçon, Ressource"
ÉPS : l'apprentissage en ligne,https://ophea.net/fr/eps-lapprentissage-en-ligne,"La ressource ÉPS : l'apprentissage en ligne d'Ophea offre des ressources pédagogiques fondées sur le programme-cadre et destinées au personnel enseignant, aux parents et aidants ainsi qu'à tous les élèves pour progresser dans leur apprentissage.","1e, 2e, 3e, 4e, ...","Activité, Plan de leçon, Ressource, Vidéo"
Le mouvement pour les personnes ayant une déficience : soutien pour l'éducation physique inclusive,https://ophea.net/fr/le-mouvement-pour-les-personnes-ayant-une-deficience-soutien-pour-leducation-physique-inclusive,"Le mouvement pour les personnes ayant une déficience est une ressource en ligne gratuite créée pour aider le personnel enseignant à concevoir un programme d'éducation physique pour les élèves ayant des déficiences.","Petite enfance, 1e, 2e, 3e, ...",Ressource
Écoles affiliées à la Jays Care Foundation,https://ophea.net/fr/ecoles-affiliees-la-jays-care-foundation,"La Jays Care Foundation, organisation de bienfaisance officielle des Blue Jays de Toronto, et Ophea partagent l'objectif de concrétiser des possibilités inclusives de sport et d'activité physique renforçant le sentiment d'appartenance des enfants et des jeunes.","Petite enfance, 1e, 2e, 3e, ...",Ressource
Ressources d'éducation sur la prévention de la violence fondée sur le genre,https://ophea.net/fr/ressources-deducation-sur-la-prevention-de-la-violence-fondee-sur-le-genre,"Ces ressources ont été conçues pour améliorer la compréhension du personnel enseignant du primaire et du secondaire du harcèlement et de la violence basée sur le genre et faire connaître les moyens de prévention par l'éducation et des discussions franches en classe.","6e, 7e, 8e, 9e, ...","Activité, Ressource, Vidéo"
Ressources d'appui d'ÉPS : Élémentaire,https://ophea.net/fr/ressources-dappui-deps-elementaire,"Les Ressources d'appui au programme-cadre d'ÉPS pour l'élémentaire offrent 130 leçons prêtes à utiliser pour chaque année scolaire, des gabarits destinés aux élèves et des outils d'évaluation.","1e, 2e, 3e, 4e, ...","Plan de leçon, Ressource"
Ressources d'ÉPS pour le secondaire,https://ophea.net/fr/ressources-deps-pour-le-secondaire,"Ophea soutient la mise en œuvre du programme-cadre d'ÉPS de 2015 pour la 9e à la 12e année, avec une planification en ÉPS, des exemples de plans d'unité, des affiches et des outils.","9e, 10e, 11e, 12e","Affiche, Ressource, Outil"
Trousse pour l'éducation en plein air,https://ophea.net/fr/trousse-pour-leducation-en-plein-air-0,"La Trousse d'éducation en plein air contient des leçons, des activités et des ressources additionnelles pour promouvoir la création d'une culture axée sur la sécurité avant, pendant et après les activités d'éducation en plein air.","1e, 2e, 3e, 4e, ...","Plan de leçon, Ressource"
